startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
AvimeeHerbal,Beauty/Fashion,280.0,,,,5,False
eyenic,Beauty/Fashion,75.0,,,,2,False
ekatra,Lifestyle/Home,40.0,20.0,2.0,20.0,2,True
Raasa,Food and Beverage,50.0,50.0,1.0,25.0,1,True
NeoMotion,Manufacturing,100.0,100.0,1.0,1.0,3,True
licksters,Food and Beverage,50.0,25.0,1.0,5.0,2,True
Sayonara,Beauty/Fashion,100.0,,,,1,False
PMV,Vehicles/Electrical Vehicles,100.0,,,,1,False
SpiceStory,Food and Beverage,70.0,70.0,1.0,5.0,3,True
Bullspree,Technology/Software,75.0,75.0,2.0,2.86,3,True
Snitch,Beauty/Fashion,150.0,150.0,5.0,1.5,1,True
Portl,Business Services,150.0,150.0,3.0,2.5,3,True
FatToSlim,Beauty/Fashion,20.0,,,,1,False
CheeseCake&Co.,Food and Beverage,100.0,,,,2,False
Dabble,Manufacturing,50.0,15.0,1.0,10.0,2,True
CloudTailor,Business Services,100.0,,,,3,False
BeUnic,Business Services,100.0,,,,3,False
Broomees,Business Services,80.0,100.0,3.0,3.0,3,True
Ravel,Beauty/Fashion,75.0,75.0,1.0,10.0,1,True
HoneyVeda,Food and Beverage,75.0,50.0,2.0,20.0,2,True
PadCare,Manufacturing,50.0,100.0,4.0,4.0,1,True
SwadeshiBlessings,Lifestyle/Home,50.0,25.0,2.0,5.0,3,True
OLL,Technology/Software,30.0,30.0,2.0,5.0,1,True
Febris,Medical/Health,100.0,,,,2,False
Geeani,Vehicles/Electrical Vehicles,75.0,100.0,3.0,10.0,3,True
Amore,Food and Beverage,75.0,75.0,1.0,7.5,2,True
LeafyAffair,Beauty/Fashion,50.0,,,,1,False
ScrapUncle,Green/CleanTech,60.0,60.0,1.0,5.0,1,True
SharmaJiKiAata,Food and Beverage,40.0,40.0,1.0,20.0,2,True
Manetain,Beauty/Fashion,75.0,75.0,1.0,10.0,2,True
GavinParis,Beauty/Fashion,50.0,,,,2,False
UnStop,Technology/Software,100.0,200.0,4.0,4.0,1,True
BlueTea,Food and Beverage,75.0,50.0,1.0,3.0,2,True
TheGreenSnack,Food and Beverage,100.0,100.0,1.0,8.0,2,True
HobbyIndia,Lifestyle/Home,50.0,,,,3,False
Flhexible,Lifestyle/Home,50.0,,,,2,False
UpThrust,Fitness/Sports/Outdoors,75.0,,,,2,False
Zoff,Food and Beverage,100.0,100.0,1.0,1.25,2,True
DesiToys,Manufacturing,50.0,,,,1,False
CloudWorx,Technology/Software,40.0,40.0,2.0,3.2,1,True
Mahantam,Manufacturing,30.0,30.0,5.0,20.0,2,True
MindPeers,Medical/Health,53.0,106.0,4.0,2.0,2,True
Barosi,Food and Beverage,50.0,,,,1,False
Daryaganj,Food and Beverage,90.0,90.0,1.0,1.0,3,True
DhruvVidyut,Vehicles/Electrical Vehicles,0.0,0.0,3.0,0.5,1,False
CELLBELL,Lifestyle/Home,90.0,,,,3,False
Tipayi,Manufacturing,50.0,,,,1,False
DigiQure,Medical/Health,40.0,40.0,1.0,10.0,2,True
Nirmalaya,Manufacturing,60.0,,,,3,False
Pabiben,Beauty/Fashion,50.0,10.0,1.0,5.0,2,True
Homestrap,Lifestyle/Home,70.0,50.0,1.0,7.0,2,True
uBreathe,Manufacturing,150.0,50.0,1.0,5.0,2,True
Deyor,Technology/Software,100.0,,,,2,False
iMumz,Medical/Health,70.0,10.0,1.0,1.0,3,True
TheHealthyBinge,Food and Beverage,50.0,50.0,2.0,5.0,2,True
Freakins,Beauty/Fashion,70.0,50.0,1.0,2.5,2,True
Perfora,Lifestyle/Home,80.0,80.0,3.0,2.5,2,True
MidNightAngelsByPC,Beauty/Fashion,75.0,,,,2,False
CureSee,Medical/Health,40.0,50.0,1.0,10.0,3,True
MeduLance,Medical/Health,200.0,200.0,3.0,2.0,2,True
Cakelicious,Food and Beverage,25.0,25.0,1.0,20.0,2,True
Bowled.io,Fitness/Sports/Outdoors,80.0,,,,2,False
Toyshine,Manufacturing,125.0,,,,1,False
neuphony,Medical/Health,100.0,100.0,2.0,5.4,2,True
Amrutam,Food and Beverage,50.0,,,,3,False
HoloKitab,Technology/Software,45.0,45.0,1.0,25.0,2,True
Zoe,Food and Beverage,75.0,,,,2,False
Hornback,Vehicles/Electrical Vehicles,50.0,50.0,1.0,2.5,2,True
Malaki,Food and Beverage,50.0,50.0,2.0,3.0,2,True
nanoclean,Manufacturing,80.0,,,,1,False
DesmondJi,Liquor/Alcohol,100.0,,,,2,False
Cremeitalia,Food and Beverage,90.0,,,,1,False
nawgati,Business Services,67.0,67.0,2.0,3.0,3,True
Swytchd,Vehicles/Electrical Vehicles,50.0,,,,1,False
GladFul,Food and Beverage,50.0,50.0,3.0,3.5,2,True
Pharmallama,Medical/Health,100.0,200.0,5.0,5.0,3,True
CraveRajaFoods,Food and Beverage,65.0,,,,2,False
VAPerfume,Lifestyle/Home,100.0,,,,1,False
Hood,Technology/Software,120.0,60.0,2.0,0.54,3,True
TwistingScoops,Food and Beverage,100.0,,,,2,False
GROWiT,Agriculture,100.0,50.0,2.0,1.0,2,True
Makino,Food and Beverage,200.0,,,,4,False
Trunome,Medical/Health,150.0,150.0,4.0,2.0,2,True
Wol3D,Manufacturing,150.0,80.0,1.0,2.0,4,True
What'sUpWellness,Food and Beverage,50.0,60.0,3.0,4.76,2,True
ProostBeer,Food and Beverage,100.0,,,,2,False
DrCubes,Food and Beverage,80.0,,,,2,False
MetroRide,Vehicles/Electrical Vehicles,75.0,,,,2,False
Conker,Technology/Software,40.0,,,,1,False
WTF,Food and Beverage,75.0,,,,1,False
funngro,Technology/Software,50.0,50.0,2.0,4.16,3,True
Aadvik,Food and Beverage,60.0,15.0,1.0,1.5,2,True
oyehappy,Business Services,50.0,,,,2,False
HealthyMaster,Food and Beverage,50.0,50.0,1.0,6.5,3,True
Kitsons,Lifestyle/Home,1000.0,,,,3,False
LondonBubble,Food and Beverage,75.0,75.0,1.0,15.0,2,True
WaggyZone,Animal/Pets,50.0,,,,1,False
NutriCook,Food and Beverage,100.0,50.0,1.0,10.0,2,True
Subhag,Medical/Health,50.0,20.0,1.0,1.0,3,True
SinghStyled,Beauty/Fashion,50.0,50.0,1.0,10.0,2,True
ZSportsTech,Fitness/Sports/Outdoors,60.0,,,,2,False
ThePlatedProject,Business Services,75.0,75.0,3.0,3.75,1,True
VsnapU,Business Services,50.0,,,,4,False
TheHealthyFactory,Food and Beverage,75.0,,,,2,False
Brevistay,Business Services,100.0,,,,5,False
SoulUp,Business Services,50.0,50.0,1.0,5.0,2,True
TheBigBookBox ChapterOneBooks,Lifestyle/Home,50.0,,,,2,False
Rubans,Beauty/Fashion,150.0,100.0,3.0,1.0,2,True
SameNotification,Technology/Software,25.0,,,,1,False
BottomLineSprays,Lifestyle/Home,35.0,,,,2,False
LilGoodness,Food and Beverage,100.0,50.0,1.0,1.0,2,True
ForeverModest,Beauty/Fashion,20.0,20.0,4.0,20.0,1,True
Sahayatha,Medical/Health,100.0,100.0,5.0,10.0,1,True
WickedGud,Food and Beverage,50.0,,,,3,False
maisha,Beauty/Fashion,75.0,10.0,1.0,1.0,3,True
NishHair,Beauty/Fashion,100.0,100.0,1.0,2.0,1,True
MYBYK,Vehicles/Electrical Vehicles,200.0,,,,1,False
GODESi,Food and Beverage,90.0,,,,2,False
TAC,Beauty/Fashion,150.0,81.0,2.0,1.0,2,True
Naara-Aaba,Liquor/Alcohol,75.0,50.0,2.0,5.0,2,True
StyloBug,Beauty/Fashion,80.0,80.0,1.0,10.0,2,True
ZenOnco,Medical/Health,100.0,,,,2,False
HonestHome,Green/CleanTech,100.0,100.0,1.0,3.0,1,True
AdilQadri,Beauty/Fashion,100.0,100.0,1.0,1.0,1,True
ConsciousChemist,Beauty/Fashion,60.0,,,,2,False
TheCinnamonKitchen,Food and Beverage,60.0,60.0,1.0,5.0,1,True
WtfGyms,Business Services,100.0,,,,2,False
Intervue,Technology/Software,150.0,150.0,1.0,2.0,2,True
RodBez,Vehicles/Electrical Vehicles,50.0,20.0,2.0,5.0,2,True
Blix,Technology/Software,80.0,80.0,2.0,4.0,1,True
Homversity,Technology/Software,65.0,,,,1,False
TURMS,Beauty/Fashion,120.0,120.0,1.0,4.0,1,True
mintree,Beauty/Fashion,90.0,90.0,2.0,1.5,1,True
80Wash,Manufacturing,100.0,,,,3,False
DilFoods,Food and Beverage,50.0,200.0,4.0,2.67,1,True
AIKavach/Panoplia,Technology/Software,50.0,100.0,2.0,2.5,1,True
Bartisans,Liquor/Alcohol,100.0,,,,2,False
Aretto,Manufacturing,80.0,,,,1,False
Kalakaram,Manufacturing,50.0,60.0,3.0,6.0,1,True
NabhiSutra,Beauty/Fashion,60.0,,,,2,False
Zorko,Food and Beverage,150.0,,,,2,False
Tramboo,Fitness/Sports/Outdoors,30.0,30.0,2.0,4.0,2,True
WeHear,Medical/Health,250.0,250.0,1.0,1.0,2,True
Tiggle,Food and Beverage,50.0,50.0,2.0,20.0,1,True
WYLDCard,Technology/Software,50.0,75.0,1.0,1.5,3,True
upliance.ai,Lifestyle/Home,100.0,,,,2,False
PizzaGalleria,Food and Beverage,100.0,,,,2,False
AiCars,Vehicles/Electrical Vehicles,200.0,,,,1,False
RooftopApp,Technology/Software,200.0,,,,1,False
GoenchiFeni,Liquor/Alcohol,100.0,200.0,1.0,15.0,2,True
Arata,Beauty/Fashion,100.0,100.0,2.0,1.33,2,True
Vecros,Technology/Software,100.0,20.0,1.0,1.0,2,True
GudGum,Food and Beverage,50.0,80.0,4.0,10.0,2,True
EvaScalp,Medical/Health,30.0,30.0,3.0,1.8,1,True
Elitty,Beauty/Fashion,100.0,,,,2,False
HoneyTwigs,Food and Beverage,75.0,75.0,3.0,3.0,3,True
Koparo,Food and Beverage,70.0,70.0,2.0,1.0,1,True
2Ballz,Beauty/Fashion,30.0,,,,3,False
JewelBox,Beauty/Fashion,100.0,200.0,5.0,6.0,2,True
DaakRoom,Business Services,36.0,36.0,1.0,6.0,2,True
Nuvedo,Food and Beverage,50.0,,,,2,False
WALK,Medical/Health,50.0,50.0,2.0,2.3,1,True
RajaRaniCoaching,Beauty/Fashion,130.0,,,,2,False
DecodeAge,Medical/Health,100.0,100.0,1.0,2.25,3,True
ALittleExtra,Beauty/Fashion,48.0,60.0,2.0,7.5,1,True
Assembly,Beauty/Fashion,85.0,,,,2,False
NasherMiles,Beauty/Fashion,300.0,300.0,5.0,1.5,3,True
AltCo,Food and Beverage,150.0,,,,2,False
Without,Beauty/Fashion,75.0,75.0,2.0,3.0,1,True
Kibo,Technology/Software,60.0,60.0,2.0,6.0,2,True
VOLD,Food and Beverage,50.0,10.0,1.0,10.0,1,True
Quirksmith,Beauty/Fashion,80.0,,,,2,False
UrbanSpace,Lifestyle/Home,180.0,,,,2,False
HyperLab,Fitness/Sports/Outdoors,10.0,25.0,1.0,1.0,3,True
EcoBiotraps,Green/CleanTech,50.0,,,,3,False
Hoora,Technology/Software,80.0,,,,2,False
YesMadam,Beauty/Fashion,150.0,150.0,4.0,2.0,4,True
Zerodor,Lifestyle/Home,100.0,,,,2,False
ToffeeCoffeeRoasters,Food and Beverage,60.0,35.0,1.0,2.33,2,True
PushSports,Fitness/Sports/Outdoors,80.0,80.0,2.0,4.0,2,True
ORBO,Technology/Software,100.0,100.0,1.0,1.0,3,True
CannazoIndia,Beauty/Fashion,150.0,,,,3,False
Chefling,Food and Beverage,40.0,40.0,4.0,16.0,1,True
IntenseFocus,Beauty/Fashion,500.0,,,,1,False
MilletAmma,Food and Beverage,100.0,,,,2,False
D'chica,Beauty/Fashion,80.0,80.0,2.0,2.0,2,True
Refit,Electronics,200.0,200.0,3.0,1.0,2,True
HouseOfBeautyIndia,Beauty/Fashion,150.0,,,,1,False
Artinci,Food and Beverage,50.0,50.0,1.0,5.0,2,True
TheRageRoom,Business Services,20.0,,,,1,False
Aastey,Beauty/Fashion,80.0,,,,2,False
Matri,Medical/Health,60.0,60.0,2.0,4.0,2,True
Rubbabu,Manufacturing,200.0,,,,3,False
GulaboJaipur,Beauty/Fashion,90.0,,,,2,False
AristaVault,Manufacturing,45.0,20.0,1.0,1.0,2,True
ToHands,Technology/Software,55.0,60.0,2.0,2.0,3,True
PlusGold,Technology/Software,60.0,60.0,1.0,1.5,2,True
Aroleap,Medical/Health,100.0,100.0,4.0,5.0,3,True
Cosmix,Medical/Health,100.0,100.0,1.0,1.0,2,True
Fabriclore,Beauty/Fashion,68.7,,,,3,False
PolishMePretty,Beauty/Fashion,25.0,25.0,1.0,25.0,1,True
GridMats,Manufacturing,500.0,,,,2,False
UnclePetersPanCakes,Food and Beverage,60.0,60.0,3.0,3.0,2,True
CreativeHatti,Business Services,60.0,,,,5,False
CandidMen,Beauty/Fashion,60.0,60.0,2.0,5.0,2,True
Flyrobe,Beauty/Fashion,50.0,50.0,1.0,4.0,1,True
WiseLife,Medical/Health,60.0,120.0,4.0,4.0,2,True
Cervicheck,Medical/Health,75.0,75.0,1.0,5.0,2,True
Eatverse,Food and Beverage,100.0,,,,3,False
AvataarSkincare,Beauty/Fashion,70.0,35.0,2.0,0.5,1,True
ChalteFirteMangalkaryalay,Business Services,200.0,,,,3,False
KryzenBiotech,Agriculture,75.0,75.0,1.0,15.0,2,True
FOMO,Food and Beverage,35.0,35.0,2.0,6.0,2,True
ModelVerse,Technology/Software,25.0,25.0,3.0,10.0,1,True
VikrantBikes,Vehicles/Electrical Vehicles,30.0,,,,1,False
TheShellHair,Beauty/Fashion,30.0,30.0,1.0,3.0,1,True
Rize,Food and Beverage,45.0,,,,2,False
MEPACK,Business Services,7.0,7.0,2.0,10.0,2,True
BaccaBucci,Beauty/Fashion,250.0,,,,2,False
Vobble,Children/Education,25.0,25.0,1.0,2.0,2,True
BeUNatural,Beauty/Fashion,60.0,,,,1,False
Erotissch,Beauty/Fashion,75.0,,,,2,False
Niblerzz,Food and Beverage,50.0,10.0,1.0,5.0,2,True
Sorich,Food and Beverage,90.0,,,,2,False
LittleBox,Beauty/Fashion,75.0,75.0,5.0,2.5,2,True
CremeCastle,Food and Beverage,60.0,60.0,1.0,2.5,2,True
