startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
AseemShakti,Beauty/Fashion,50.0,50.0,1.0,10.0,1,True
RBDMachineTools,Agriculture,100.0,50.0,2.0,1.0,2,True
MidasPaint,Green/CleanTech,300.0,,,,4,False
GoodlandPickleball,Fitness/Sports/Outdoors,80.0,80.0,1.0,6.0,2,True
TheNaturikCo,Food and Beverage,50.0,400.0,5.0,22.22,2,True
Metashot,Fitness/Sports/Outdoors,80.0,160.0,2.0,5.0,3,True
GabruDiChaap,Food and Beverage,70.0,140.0,3.0,6.0,2,True
YaanMan,Beauty/Fashion,50.0,100.0,2.0,20.0,1,True
SonicLamb,Lifestyle/Home,50.0,50.0,1.0,1.0,2,True
Woolah,Food and Beverage,50.0,50.0,1.0,2.5,1,True
EM5,Beauty/Fashion,70.0,100.0,1.0,10.0,1,True
WomanLikeU,Beauty/Fashion,100.0,100.0,1.0,3.0,2,True
BookLeafPublishing,Others,90.0,,,,2,False
Str8bat,Fitness/Sports/Outdoors,150.0,150.0,2.0,3.5,3,True
Ruby'sOrganics,Beauty/Fashion,100.0,100.0,1.0,8.0,1,True
TheGoodDoll,Children/Education,50.0,,,,2,False
Schickwheel,Manufacturing,70.0,,,,2,False
ClapStoreToys,Children/Education,80.0,100.0,5.0,10.0,2,True
RahejaSolarFoodProcessing,Manufacturing,50.0,175.0,3.0,4.38,2,True
Wanderlooms,Fitness/Sports/Outdoors,50.0,50.0,2.0,4.0,2,True
Ugees,Lifestyle/Home,50.0,50.0,1.0,4.0,2,True
Alt.fCoworking,Business Services,100.0,,,,2,False
BurgerBae,Beauty/Fashion,100.0,200.0,3.0,20.0,3,True
BobaBhai,Food and Beverage,50.0,90.0,2.0,1.0,1,True
Hexafun,Beauty/Fashion,100.0,,,,2,False
RepeatGud,Food and Beverage,50.0,50.0,1.0,10.0,1,True
SkateSupplyIndia,Fitness/Sports/Outdoors,50.0,,,,2,False
UtopianDrinks,Food and Beverage,40.0,,,,2,False
GOFIG,Green/CleanTech,50.0,,,,2,False
Joyspoon,Food and Beverage,40.0,40.0,1.0,2.0,2,True
